Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Complex GMP DOMP sweep,Sweep point,300,300,Validation-selected Ridge,0,-38.4474401424679,-38.5994378877983,-38.4159824976761,1617,300,0,NaN,Not applicable,NaN,NaN,150,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,344,344,Validation-selected Ridge,0,-38.4770680706315,-38.67216059256,-38.4583953649445,1837,344,0,NaN,Not applicable,NaN,NaN,172,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,380,380,Validation-selected Ridge,0,-38.4983208380395,-38.7177066001194,-38.4950887462856,2017,380,0,NaN,Not applicable,NaN,NaN,190,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,300,300,Validation-selected Ridge,0,-38.8354618558929,-39.0338470264032,-38.8698954703871,993,300,0,NaN,Not applicable,1346,1285,150,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,344,344,Validation-selected Ridge,0,-38.852680082496,-39.115104042632,-38.934588496912,1122,344,0,NaN,Not applicable,1346,1285,172,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,380,380,Validation-selected Ridge,0,-38.9084817981099,-39.1773438706415,-38.9814396431913,1214,380,0,NaN,Not applicable,1346,1285,190,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Sparse PNNN N12,Sweep point,300,300,Not applicable,NaN,NaN,-35.4085653789315,-35.3867535628083,760,286,14,72.2868217054264,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,163,historical parameter-matched 344 selection,1,1,57.2800383,pnnn_target_0300.mat
Sparse PNNN N12,Sweep point,344,344,Not applicable,NaN,NaN,-35.6969282882192,-35.6599135018581,848,330,14,68.0232558139535,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,163,historical parameter-matched 344 selection,1,1,100.20602,pnnn_target_0344.mat
Sparse PNNN N12,Sweep point,380,380,Not applicable,NaN,NaN,-35.6399809306156,-35.6043424228292,920,366,14,64.5348837209302,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,163,historical parameter-matched 344 selection,1,1,51.6835687,pnnn_target_0380.mat
