Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
Complex GMP-DOMP,270,270,0.0001,-51.0929885016646,-51.074912155384,1481
Complex GMP-DOMP,270,270,1e-05,-51.4836696865154,-51.4488597948982,1481
Complex GMP-DOMP,280,280,0.001,-43.2301723553129,-43.2265784788198,1531
Complex GMP-DOMP,280,280,0.0001,-50.8122705240193,-50.7935330795499,1531
Complex GMP-DOMP,280,280,1e-05,-51.4738682740033,-51.4386351824119,1531
Complex GMP-DOMP,290,290,0.001,-43.2278004354856,-43.2248981035777,1581
Complex GMP-DOMP,290,290,0.0001,-50.8132961565521,-50.7940550707773,1581
Complex GMP-DOMP,290,290,1e-05,-51.47426365869,-51.4385305183312,1581
Complex GMP-DOMP,300,300,0.001,-43.2260622859591,-43.2229747995724,1631
Complex GMP-DOMP,300,300,0.0001,-50.8150476399177,-50.795178739426,1631
Complex GMP-DOMP,300,300,1e-05,-51.4753561474313,-51.4386037215401,1631
Complex GMP-DOMP,310,310,0.001,-43.2223888687031,-43.2184655867088,1681
Complex GMP-DOMP,310,310,0.0001,-50.8157168399738,-50.7954565651824,1681
Complex GMP-DOMP,310,310,1e-05,-51.4762182949128,-51.43910557885,1681
Complex GMP-DOMP,320,320,0.001,-43.2201352689518,-43.2160150721933,1731
Complex GMP-DOMP,320,320,0.0001,-50.8154375553181,-50.7947514919337,1731
Complex GMP-DOMP,320,320,1e-05,-51.4789329952495,-51.441846560122,1731
Complex GMP-DOMP,330,330,0.001,-43.2131586105954,-43.208429518594,1781
Complex GMP-DOMP,330,330,0.0001,-50.8169525134808,-50.7958956523187,1781
Complex GMP-DOMP,330,330,1e-05,-51.4796360321658,-51.4418744678288,1781
Complex GMP-DOMP,340,340,0.001,-43.1914669367573,-43.1858519613543,1831
Complex GMP-DOMP,340,340,0.0001,-50.8128487682281,-50.7924999351632,1831
Complex GMP-DOMP,340,340,1e-05,-51.4814797871059,-51.4431990647604,1831
Complex GMP-DOMP,350,350,0.001,-43.0564910886184,-43.0510638738569,1881
Complex GMP-DOMP,350,350,0.0001,-50.7911713004912,-50.7736806653194,1881
Complex GMP-DOMP,350,350,1e-05,-51.4833685917235,-51.4445194018882,1881
Complex GMP-DOMP,360,360,0.001,-43.057642996427,-43.0502999971805,1931
Complex GMP-DOMP,360,360,0.0001,-50.7759892994764,-50.7586585883289,1931
Complex GMP-DOMP,360,360,1e-05,-51.4860599492428,-51.4465213342021,1931
Complex GMP-DOMP,370,370,0.001,-43.0573077403946,-43.0499543601054,1981
Complex GMP-DOMP,370,370,0.0001,-50.7755062603129,-50.7581273219107,1981
Complex GMP-DOMP,370,370,1e-05,-51.4862078108569,-51.446591396317,1981
Complex GMP-DOMP,380,380,0.001,-43.0562245788153,-43.0489303920764,2031
Complex GMP-DOMP,380,380,0.0001,-50.7753824282341,-50.7576958383088,2031
Complex GMP-DOMP,380,380,1e-05,-51.4869753304799,-51.4469585975746,2031
Complex GMP-DOMP,390,390,0.001,-43.0456414304287,-43.0370771629264,2079
Complex GMP-DOMP,390,390,0.0001,-50.7721554045215,-50.7534262314585,2079
Complex GMP-DOMP,390,390,1e-05,-51.4877570030475,-51.4469643075159,2079
Complex GMP-DOMP,400,400,0.001,-43.0000793221762,-42.9934570228346,2129
Complex GMP-DOMP,400,400,0.0001,-50.7623565569808,-50.7446422205899,2129
Complex GMP-DOMP,400,400,1e-05,-51.4879001664367,-51.447050228034,2129
Complex GMP-DOMP,410,410,0.001,-43.0004710538744,-42.9938421777014,2185
Complex GMP-DOMP,410,410,0.0001,-50.7631498415042,-50.7452928253718,2185
Complex GMP-DOMP,410,410,1e-05,-51.4889649207274,-51.4472875111679,2185
Complex GMP-DOMP,420,420,0.001,-43.0012616323121,-42.9940957696189,2237
Complex GMP-DOMP,420,420,0.0001,-50.7627736259768,-50.7448289860847,2237
Complex GMP-DOMP,420,420,1e-05,-51.4891827950411,-51.4471326771263,2237
Complex GMP-DOMP,430,430,0.001,-43.0014083601886,-42.9939720586365,2291
Complex GMP-DOMP,430,430,0.0001,-50.7640712356588,-50.7458992721919,2291
Complex GMP-DOMP,430,430,1e-05,-51.4913449355598,-51.448750650991,2291
Complex GMP-DOMP,440,440,0.001,-43.0009072700532,-42.9931057394237,2341
Complex GMP-DOMP,440,440,0.0001,-50.7642382470898,-50.7454723617073,2341
Complex GMP-DOMP,440,440,1e-05,-51.4920979498169,-51.4492686280918,2341
Complex GMP-DOMP,450,450,0.001,-42.9772856032476,-42.9703405492242,2391
Complex GMP-DOMP,450,450,0.0001,-50.7576646989729,-50.7385552782556,2391
Complex GMP-DOMP,450,450,1e-05,-51.4950203558658,-51.4522046046847,2391
Complex GMP-DOMP,460,460,0.001,-42.9792761183736,-42.9724642365515,2441
Complex GMP-DOMP,460,460,0.0001,-50.7416944531708,-50.7216315977002,2441
Complex GMP-DOMP,460,460,1e-05,-51.4965896300032,-51.4532646187996,2441
Complex GMP-DOMP,470,470,0.001,-42.9792103937668,-42.9719901843056,2491
Complex GMP-DOMP,470,470,0.0001,-50.741977420224,-50.7217220672159,2491
Complex GMP-DOMP,470,470,1e-05,-51.4972735718272,-51.4533077712912,2491
Complex GMP-DOMP,480,480,0.001,-42.9790760394859,-42.9718685429038,2541
Complex GMP-DOMP,480,480,0.0001,-50.7422021382868,-50.7216764722065,2541
Complex GMP-DOMP,480,480,1e-05,-51.4980300801242,-51.4536714958505,2541
Complex GMP-DOMP,490,490,0.001,-42.4607272226295,-42.4597142767818,2591
Complex GMP-DOMP,490,490,0.0001,-50.6205759320154,-50.6059587880689,2591
Complex GMP-DOMP,490,490,1e-05,-51.4954715535311,-51.4509160315756,2591
