Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Complex GMP DOMP sweep,Sweep point,260,260,Validation-selected Ridge,1e-06,-51.3885159463049,-51.5189546112819,-51.4785224504369,1431,260,0,NaN,Not applicable,NaN,NaN,130,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,270,270,Validation-selected Ridge,1e-06,-51.3917435694779,-51.5196760817777,-51.4786577803493,1481,270,0,NaN,Not applicable,NaN,NaN,135,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,280,280,Validation-selected Ridge,1e-06,-51.3973325357049,-51.5200894670069,-51.4782572501337,1531,280,0,NaN,Not applicable,NaN,NaN,140,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,290,290,Validation-selected Ridge,1e-06,-51.3981159253408,-51.5207275615788,-51.4783577310163,1581,290,0,NaN,Not applicable,NaN,NaN,145,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,300,300,Validation-selected Ridge,1e-06,-51.3979695903189,-51.5222553726431,-51.4788744773455,1631,300,0,NaN,Not applicable,NaN,NaN,150,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,310,310,Validation-selected Ridge,1e-06,-51.4035773790159,-51.5239229842658,-51.4797688592951,1681,310,0,NaN,Not applicable,NaN,NaN,155,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,320,320,Validation-selected Ridge,1e-06,-51.4059742793954,-51.5260304765867,-51.4814661024276,1731,320,0,NaN,Not applicable,NaN,NaN,160,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,330,330,Validation-selected Ridge,1e-06,-51.4042110605948,-51.5288473848355,-51.4833296354897,1781,330,0,NaN,Not applicable,NaN,NaN,165,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,340,340,Validation-selected Ridge,1e-06,-51.4033614913516,-51.5310264849653,-51.4847610559558,1831,340,0,NaN,Not applicable,NaN,NaN,170,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,350,350,Validation-selected Ridge,1e-06,-51.4037315388391,-51.5326250024551,-51.4855531354338,1881,350,0,NaN,Not applicable,NaN,NaN,175,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
