Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Complex GMP DOMP sweep,Sweep point,20,20,Validation-selected Ridge,1e-05,-31.1121238748506,-31.1569244799992,-31.1569397944628,116,20,0,NaN,Not applicable,NaN,NaN,10,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,170,170,Validation-selected Ridge,0,-38.1375161837746,-38.2665630055301,-38.1455798918785,925,170,0,NaN,Not applicable,NaN,NaN,85,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,340,340,Validation-selected Ridge,0,-38.4775248002842,-38.663181506849,-38.4564256202352,1817,340,0,NaN,Not applicable,NaN,NaN,170,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,20,20,Validation-selected Ridge,0,-30.2980326508844,-30.2954090850971,-30.2402740598707,104,20,0,NaN,Not applicable,1346,1285,10,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,170,170,Validation-selected Ridge,0,-38.3244206995677,-38.5111107445304,-38.383712224634,569,170,0,NaN,Not applicable,1346,1285,85,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,340,340,Validation-selected Ridge,0,-38.853279642979,-39.1107090478303,-38.9307411786449,1107,340,0,NaN,Not applicable,1346,1285,170,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Sparse PNNN N12,Sweep point,20,20,Not applicable,NaN,NaN,-5.00290309938555,-5.00722693165822,200,6,14,99.4186046511628,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,164,shared N12 internal selection,1,1,57.8192127,pnnn_target_0020.mat
Sparse PNNN N12,Sweep point,170,170,Not applicable,NaN,NaN,-34.3269647857519,-34.3915941347759,500,156,14,84.8837209302326,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,164,shared N12 internal selection,1,1,55.2215219,pnnn_target_0170.mat
Sparse PNNN N12,Sweep point,340,340,Not applicable,NaN,NaN,-35.6793003438009,-35.6523901262658,840,326,14,68.4108527131783,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,164,shared N12 internal selection,1,1,55.3594039,pnnn_target_0340.mat
