Stage,SelectedComponents,RequestedComponents,StopReason,InitialResidualNorm,FinalResidualNorm,MaximumNormalizedCorrelation,MaximumConditionNumber,MaximumOrthogonalityError,ElapsedTimeSeconds
TRAIN complex path,200,200,maximum_components,3.58248071524519,0.0491647197786088,3.48920987073274,1.86676531031093e+17,1.60646675126349e-14,118.8172266
FIT_POOL complex path,200,200,maximum_components,3.8899365230855,0.0535673949807785,3.78809284157256,8.64612293456263e+17,1.26092884491542e-14,129.2772804
TRAIN reduced PN-IQ,100,100,maximum_components,3.58248071524519,0.0486822189479642,3.48920987073274,2.81258666160288e+15,2.90548834991355e-14,6.3718014
FIT_POOL reduced PN-IQ,100,100,maximum_components,3.8899365230855,0.0529875549059079,3.78809284157256,3.6486882382346e+16,5.62156658029389e-14,7.64037
