Model,SelectedLambda,DOMPSupportSize,InternalValidationNMSEdB,BestDenseEpoch,BestFineTuneEpoch,SelectionMethod
Complex GMP DOMP-100,0,100,-38.2627190420314,NaN,NaN,DOMP
Coupled PN-IQ (shared DOMP-100),0,100,-38.2627190420875,NaN,NaN,DOMP
Independent PN-IQ full,0,100,-38.8161069790024,NaN,NaN,DOMP
Complex GMP DOMP parameter-matched,0,172,-38.4770680706315,NaN,NaN,DOMP
Independent I/Q without PN,0,100,-38.1830453553326,NaN,NaN,DOMP
Independent PN-IQ reduced DOMP,0,100,-38.006665670406,NaN,NaN,DOMP
PNNN H4 dense,NaN,NaN,-29.6778631827641,1259,0,internal validation; fixed identification refit
PNNN N12 dense,NaN,NaN,-35.0174181954988,1258,0,internal validation; fixed identification refit
PNNN N12 sparse,NaN,NaN,-35.1363828954939,1258,163,internal validation; fixed identification refit
