Model,SelectionMethod,NumRealParameters,ParameterMatchedTarget,ParameterDifference,InternalTrainNMSEdB,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,SelectedLambda,DOMPSupportSize,EffectiveFeatureCount,PhaseNormalization,IQCoupling,RelativePredictionErrorToComplex,FLOPsPerSample,AdditionalOperationsPerSample,NNSeed,BestDenseEpoch,BestFineTuneEpoch,NNHiddenNeurons,TrainingTimeSeconds,TargetActiveParams,ActualActiveParams,ActiveWeights,ActiveBiases,WeightSparsityPercent,FinalFitSamples,FullSignalSamples,NormalizationSamples
Complex GMP DOMP-100,DOMP,200,NaN,NaN,-38.4067609330202,-38.2627190420314,-38.4016290290242,-38.2573078374343,0,100,100,0,complex coefficients,0,1100,"13 magnitude (including 13 sqrt)",NaN,NaN,NaN,NaN,NaN,NaN,200,200,0,0,49151,491520,NaN
Coupled PN-IQ (shared DOMP-100),DOMP,200,NaN,NaN,-38.4067609330228,-38.2627190420875,-38.4016290290056,-38.2573078374418,0,100,200,1,coupled complex-equivalent,1.32555926181859e-11,1026,"13 magnitude (including 13 sqrt), 2 division, phase normalization/restoration arithmetic in FLOPs",NaN,NaN,NaN,NaN,NaN,NaN,200,200,0,0,49151,491520,NaN
Independent PN-IQ full,DOMP,344,344,0,-38.9347170410337,-38.8161069790024,-39.0046846966532,-38.8388248530625,0,100,172,1,independent I/Q,NaN,1026,"13 magnitude (including 13 sqrt), 2 division, phase normalization/restoration arithmetic in FLOPs",NaN,NaN,NaN,NaN,NaN,344,344,344,0,0,49151,491520,NaN
Complex GMP DOMP parameter-matched,DOMP,344,344,0,-38.68718647741,-38.4770680706315,-38.6721605925898,-38.4583953649355,0,172,172,0,complex coefficients,NaN,1837,"14 magnitude (including 14 sqrt)",NaN,NaN,NaN,NaN,NaN,344,344,344,0,0,49151,491520,NaN
Independent I/Q without PN,DOMP,396,NaN,NaN,-38.5185679392846,-38.1830453553326,-38.5191050424997,-38.2277383992102,0,100,198,0,independent I/Q,NaN,1092,"13 magnitude (including 13 sqrt)",NaN,NaN,NaN,NaN,NaN,NaN,396,396,0,0,49151,491520,NaN
Independent PN-IQ reduced DOMP,DOMP,200,200,0,-38.17307712961,-38.006665670406,-38.6127064348692,-38.4835032555971,0,100,100,1,independent I/Q,NaN,738,"13 magnitude (including 13 sqrt), 2 division, phase normalization/restoration arithmetic in FLOPs",NaN,NaN,NaN,NaN,NaN,200,200,200,0,0,49151,491520,NaN
PNNN H4 dense,internal validation; fixed identification refit,350,344,6,-30.0194666602125,-29.6778631827641,-30.2991691305442,-30.3585769997531,NaN,NaN,84,1,nonlinear two-output PNNN,NaN,876,"14 magnitude (including 14 sqrt), 2 division, 4 ELU, up to 4 exp, phase normalization/restoration arithmetic in FLOPs",42,1259,0,4,218.403274,344,350,344,6,0,49151,491520,49151
PNNN N12 dense,internal validation; fixed identification refit,1046,344,702,-35.3072205786376,-35.0174181954988,-35.4477024883542,-35.4564915976192,NaN,NaN,84,1,nonlinear two-output PNNN,NaN,2252,"14 magnitude (including 14 sqrt), 2 division, 12 ELU, up to 12 exp, phase normalization/restoration arithmetic in FLOPs",42,1258,0,12,234.318668,344,1046,1032,14,0,49151,491520,49151
PNNN N12 sparse,internal validation; fixed identification refit,344,344,0,-35.1526223445332,-35.1363828954939,-35.6969282882192,-35.6599135018581,NaN,NaN,84,1,nonlinear two-output PNNN,NaN,848,"14 magnitude (including 14 sqrt), 2 division, 12 ELU, up to 12 exp, phase normalization/restoration arithmetic in FLOPs",42,1258,163,12,336.4381238,344,344,330,14,68.0232558139535,49151,491520,49151
