Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
PN-IQ PN-DOMP,450,450,0.0001,-38.5671757867744,-38.5298683124665,1408,108.293998429922
PN-IQ PN-DOMP,450,450,1e-05,-39.590274470579,-39.569528536042,1408,125.885994320715
PN-IQ PN-DOMP,460,460,0.001,-35.2624143307356,-35.1910549226649,1434,85.6965098504976
PN-IQ PN-DOMP,460,460,0.0001,-38.5712047709552,-38.5339819605183,1434,108.289507488082
PN-IQ PN-DOMP,460,460,1e-05,-39.5970910197885,-39.5752988698499,1434,125.859693143105
PN-IQ PN-DOMP,470,470,0.001,-35.2614259247988,-35.1906405560838,1464,85.6844967706547
PN-IQ PN-DOMP,470,470,0.0001,-38.5736286113659,-38.5362277560437,1464,108.316900888831
PN-IQ PN-DOMP,470,470,1e-05,-39.5988798229555,-39.5763612587726,1464,125.87499399289
PN-IQ PN-DOMP,480,480,0.001,-35.2621283121838,-35.1907990205637,1490,85.6833793273634
PN-IQ PN-DOMP,480,480,0.0001,-38.5740147502081,-38.5362147853495,1490,108.31719591982
PN-IQ PN-DOMP,480,480,1e-05,-39.6003160093872,-39.5780608311267,1490,125.876081329443
PN-IQ PN-DOMP,490,490,0.001,-35.2640985958989,-35.1925989426703,1510,85.6825102723387
PN-IQ PN-DOMP,490,490,0.0001,-38.5756745630953,-38.5375036903895,1510,108.316715695729
PN-IQ PN-DOMP,490,490,1e-05,-39.6115764780221,-39.5880212305369,1510,125.87573360384
PN-IQ PN-DOMP,500,500,0.001,-35.2652220590269,-35.1935797435211,1536,85.6814215575309
PN-IQ PN-DOMP,500,500,0.0001,-38.5762550424483,-38.5383567024389,1536,108.316263511705
PN-IQ PN-DOMP,500,500,1e-05,-39.6167393166189,-39.5929744992068,1536,125.878069426682
