Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
Complex GMP-DOMP,230,230,1e-05,-37.2570217597472,-37.2893502959031,1240,132.649305044696
Complex GMP-DOMP,240,240,0.001,-34.1203153811469,-34.1546631742097,1290,90.621048032125
Complex GMP-DOMP,240,240,0.0001,-36.6063695510275,-36.6492992476536,1290,112.998675452103
Complex GMP-DOMP,240,240,1e-05,-37.2622339279418,-37.2943917853701,1290,132.577649420572
Complex GMP-DOMP,250,250,0.001,-34.1180165446698,-34.1522980249424,1342,90.5727488598165
Complex GMP-DOMP,250,250,0.0001,-36.611301759794,-36.6531346455447,1342,112.987153872266
Complex GMP-DOMP,250,250,1e-05,-37.2647198926673,-37.2955184218942,1342,132.590993570055
Complex GMP-DOMP,260,260,0.001,-34.1375132084425,-34.169232268982,1392,90.5378371375012
Complex GMP-DOMP,260,260,0.0001,-36.624601532958,-36.663932913041,1392,112.837207297895
Complex GMP-DOMP,260,260,1e-05,-37.2741750376478,-37.304233619131,1392,132.449684902541
Complex GMP-DOMP,270,270,0.001,-34.139810025285,-34.1683765926916,1442,90.4110339054116
Complex GMP-DOMP,270,270,0.0001,-36.6249721848733,-36.6601119096359,1442,112.7341395553
Complex GMP-DOMP,270,270,1e-05,-37.2803426546048,-37.3082458824803,1442,132.441042660948
Complex GMP-DOMP,280,280,0.001,-34.1365062001802,-34.1646456579207,1493,90.368966416642
Complex GMP-DOMP,280,280,0.0001,-36.6280032110264,-36.6619133417416,1493,112.728562343534
Complex GMP-DOMP,280,280,1e-05,-37.2852168320612,-37.3102491968251,1493,132.463370775244
Complex GMP-DOMP,290,290,0.001,-34.1642955307951,-34.1906730584517,1543,90.2982944145858
Complex GMP-DOMP,290,290,0.0001,-36.6441028635249,-36.678079325021,1543,112.69923509872
Complex GMP-DOMP,290,290,1e-05,-37.2929073501743,-37.3161488635347,1543,132.394242393617
Complex GMP-DOMP,300,300,0.001,-34.190032935649,-34.2169130061259,1593,90.1830104603604
Complex GMP-DOMP,300,300,0.0001,-36.6530257170486,-36.6862151180265,1593,112.678659121092
Complex GMP-DOMP,300,300,1e-05,-37.2968531955856,-37.3178590920489,1593,132.257373160333
Complex GMP-DOMP,310,310,0.001,-34.1774569924348,-34.2055753120258,1643,90.1570467443785
Complex GMP-DOMP,310,310,0.0001,-36.6548208234583,-36.6874576279986,1643,112.590611346475
Complex GMP-DOMP,310,310,1e-05,-37.2995275561651,-37.3191848613959,1643,132.29672275612
Complex GMP-DOMP,320,320,0.001,-34.179189107944,-34.2049743218513,1700,90.1335209964937
Complex GMP-DOMP,320,320,0.0001,-36.6548485875252,-36.6861486293546,1700,112.580786820656
Complex GMP-DOMP,320,320,1e-05,-37.3008787643871,-37.3198083888903,1700,132.32353413969
Complex GMP-DOMP,330,330,0.001,-34.1803838603361,-34.2059177568862,1752,90.1256393430252
Complex GMP-DOMP,330,330,0.0001,-36.6653128748412,-36.6953393890733,1752,112.657733078142
Complex GMP-DOMP,330,330,1e-05,-37.3086269816575,-37.3265144288738,1752,132.177274256377
Complex GMP-DOMP,340,340,0.001,-34.1782386535447,-34.2033913751247,1807,90.1056481407481
Complex GMP-DOMP,340,340,0.0001,-36.6657417298351,-36.6952255392202,1807,112.659356283267
Complex GMP-DOMP,340,340,1e-05,-37.3099488793708,-37.3261840908986,1807,132.179387161002
Complex GMP-DOMP,350,350,0.001,-34.1869472285863,-34.2115375526288,1862,90.0992256049794
Complex GMP-DOMP,350,350,0.0001,-36.6690670451059,-36.6973272778534,1862,112.630654779471
Complex GMP-DOMP,350,350,1e-05,-37.31315982688,-37.3268892028398,1862,132.151769084923
Complex GMP-DOMP,360,360,0.001,-34.2004002081503,-34.2240175837065,1912,90.0764175479744
Complex GMP-DOMP,360,360,0.0001,-36.6730635089971,-36.700308677421,1912,112.499922935399
Complex GMP-DOMP,360,360,1e-05,-37.3133460292569,-37.3263915841522,1912,132.063878676864
Complex GMP-DOMP,370,370,0.001,-34.2015691747766,-34.2248287928893,1962,90.0578462998612
Complex GMP-DOMP,370,370,0.0001,-36.6739138984495,-36.7007008188366,1962,112.482492601385
Complex GMP-DOMP,370,370,1e-05,-37.3145798888202,-37.3272378155345,1962,132.058144588608
Complex GMP-DOMP,380,380,0.001,-34.2009672065874,-34.2238657231806,2016,90.0465716585355
Complex GMP-DOMP,380,380,0.0001,-36.6742353686103,-36.7006326733974,2016,112.485040488808
Complex GMP-DOMP,380,380,1e-05,-37.3156776174121,-37.3280782697414,2016,132.057641704093
Complex GMP-DOMP,390,390,0.001,-34.2010461613663,-34.2233061335222,2066,90.046485126947
Complex GMP-DOMP,390,390,0.0001,-36.6769883651053,-36.7033041431027,2066,112.507505060032
Complex GMP-DOMP,390,390,1e-05,-37.3179210652012,-37.3296670184038,2066,132.076596345463
Complex GMP-DOMP,400,400,0.001,-34.2020866791039,-34.2238280658916,2120,90.0306615343319
Complex GMP-DOMP,400,400,0.0001,-36.6783753437527,-36.7033565837204,2120,112.507781338228
Complex GMP-DOMP,400,400,1e-05,-37.31886439718,-37.329871199134,2120,132.055557359552
Complex GMP-DOMP,410,410,0.001,-34.2032646101368,-34.2239950293977,2172,90.0263468425882
Complex GMP-DOMP,410,410,0.0001,-36.6799076695434,-36.7026800826838,2172,112.509105063811
Complex GMP-DOMP,410,410,1e-05,-37.3207968410685,-37.3286842197014,2172,132.05284524
Complex GMP-DOMP,420,420,0.001,-34.2042955382878,-34.2246019783503,2225,90.0235359345696
Complex GMP-DOMP,420,420,0.0001,-36.6808844212478,-36.7028927492288,2225,112.504346735197
Complex GMP-DOMP,420,420,1e-05,-37.3235349294629,-37.3297741247066,2225,132.040593363435
Complex GMP-DOMP,430,430,0.001,-34.205497601341,-34.2252536807111,2275,90.0191527949297
Complex GMP-DOMP,430,430,0.0001,-36.681763956626,-36.7028938481696,2275,112.499897361139
Complex GMP-DOMP,430,430,1e-05,-37.3268370506488,-37.331740345008,2275,132.033214986492
Complex GMP-DOMP,440,440,0.001,-34.2066799445631,-34.2260007063697,2325,90.0161596423082
Complex GMP-DOMP,440,440,0.0001,-36.6820856757825,-36.7028842342578,2325,112.4990797805
Complex GMP-DOMP,440,440,1e-05,-37.3300667346897,-37.3341110371001,2325,132.036636891434
Complex GMP-DOMP,450,450,0.001,-34.206123313199,-34.2250891870816,2375,89.9923104429096
Complex GMP-DOMP,450,450,0.0001,-36.6828662143314,-36.7027221865998,2375,112.498634428318
Complex GMP-DOMP,450,450,1e-05,-37.331912321423,-37.3347726152419,2375,132.025784297866
Complex GMP-DOMP,460,460,0.001,-34.2122122320638,-34.2311122627889,2425,89.9418621329028
Complex GMP-DOMP,460,460,0.0001,-36.6840398451577,-36.7027684655407,2425,112.440307003149
Complex GMP-DOMP,460,460,1e-05,-37.3336373321718,-37.3356824902892,2425,131.981478167193
Complex GMP-DOMP,470,470,0.001,-34.2104832638732,-34.2292133544304,2476,89.8878344174733
Complex GMP-DOMP,470,470,0.0001,-36.6838954026347,-36.7019548454806,2476,112.448269707776
Complex GMP-DOMP,470,470,1e-05,-37.3355817442741,-37.336595168139,2476,131.992959595237
Complex GMP-DOMP,480,480,0.001,-34.2101550876391,-34.2287679578198,2526,89.8818393662704
Complex GMP-DOMP,480,480,0.0001,-36.6841595978042,-36.7018403571975,2526,112.446282548548
Complex GMP-DOMP,480,480,1e-05,-37.3359582555345,-37.3371092001886,2526,131.994008013447
Complex GMP-DOMP,490,490,0.001,-34.2214028173995,-34.2411096465648,2576,89.6427642405385
Complex GMP-DOMP,490,490,0.0001,-36.6872994169036,-36.7043906031744,2576,112.422953611188
Complex GMP-DOMP,490,490,1e-05,-37.338840303723,-37.3407524734422,2576,131.933627353327
Complex GMP-DOMP,500,500,0.001,-34.2133260872903,-34.2331848025261,2627,89.5874929640871
Complex GMP-DOMP,500,500,0.0001,-36.6876144990851,-36.7035649239831,2627,112.409267640296
Complex GMP-DOMP,500,500,1e-05,-37.340512227716,-37.3408125252437,2627,131.924467462474
PN-IQ PN-DOMP,20,20,0.001,-30.2253090867985,-30.2471056055783,87,106.62252986313
PN-IQ PN-DOMP,20,20,0.0001,-30.8530104439441,-30.8838986630015,87,104.757552195759
PN-IQ PN-DOMP,20,20,1e-05,-30.9980365796476,-31.0296113175974,87,102.440659815039
PN-IQ PN-DOMP,30,30,0.001,-31.8037895903625,-31.8425738355782,111,104.775095810952
PN-IQ PN-DOMP,30,30,0.0001,-33.9997520152683,-34.0745509193788,111,114.345693233457
PN-IQ PN-DOMP,30,30,1e-05,-34.2191037717987,-34.2923191219517,111,116.803303531993
PN-IQ PN-DOMP,40,40,0.001,-33.1633885389943,-33.2132813244917,143,95.8347535887195
PN-IQ PN-DOMP,40,40,0.0001,-35.108499344718,-35.1631001842696,143,112.167467211057
PN-IQ PN-DOMP,40,40,1e-05,-36.1088358339113,-36.1701985009935,143,137.258989006527
PN-IQ PN-DOMP,50,50,0.001,-33.4988065549674,-33.5299665711081,175,96.0396433194892
PN-IQ PN-DOMP,50,50,0.0001,-36.0283587153144,-36.0701751082401,175,114.109713219306
PN-IQ PN-DOMP,50,50,1e-05,-37.2897757069768,-37.3310865215439,175,138.177271865279
PN-IQ PN-DOMP,60,60,0.001,-33.6997188456974,-33.7385753901564,223,95.915823007739
PN-IQ PN-DOMP,60,60,0.0001,-36.3267501743342,-36.3726699484704,223,114.027222594346
PN-IQ PN-DOMP,60,60,1e-05,-37.6034749222152,-37.646566852967,223,136.632820343068
PN-IQ PN-DOMP,70,70,0.001,-33.9261387038229,-33.958350663514,269,96.3710611518741
PN-IQ PN-DOMP,70,70,0.0001,-36.7895250290109,-36.8193754101126,269,114.895191407611
PN-IQ PN-DOMP,70,70,1e-05,-37.9986855916626,-38.0103987195932,269,136.272532536097
PN-IQ PN-DOMP,80,80,0.001,-34.1808826077672,-34.2127412365871,295,96.0407885299077
PN-IQ PN-DOMP,80,80,0.0001,-36.8308359385747,-36.8552957501703,295,114.653238855481
PN-IQ PN-DOMP,80,80,1e-05,-38.0723175292249,-38.0799116583513,295,136.002540061195
PN-IQ PN-DOMP,90,90,0.001,-34.640730871196,-34.6799250914897,317,93.1567747364609
PN-IQ PN-DOMP,90,90,0.0001,-37.1918454676395,-37.2187965229682,317,112.393492964754
PN-IQ PN-DOMP,90,90,1e-05,-38.1647571412637,-38.1717952166386,317,129.724609209291
PN-IQ PN-DOMP,100,100,0.001,-34.751617595882,-34.7771469336567,345,92.970138238737
PN-IQ PN-DOMP,100,100,0.0001,-37.3397217135567,-37.3579146590977,345,111.977681163208
PN-IQ PN-DOMP,100,100,1e-05,-38.3419448660536,-38.3469782704336,345,129.66053262269
PN-IQ PN-DOMP,110,110,0.001,-34.8558123465946,-34.8618252398145,382,92.9265536407339
PN-IQ PN-DOMP,110,110,0.0001,-37.4901998775147,-37.4904890377807,382,111.944758800666
PN-IQ PN-DOMP,110,110,1e-05,-38.5136761174862,-38.5070120364464,382,129.654642994602
PN-IQ PN-DOMP,120,120,0.001,-34.8629792720747,-34.836538996058,412,91.7417179012839
PN-IQ PN-DOMP,120,120,0.0001,-37.6329021460933,-37.6212947356969,412,111.638651228837
PN-IQ PN-DOMP,120,120,1e-05,-38.6707331250943,-38.6633906685619,412,129.668952747096
PN-IQ PN-DOMP,130,130,0.001,-34.9048498876321,-34.8544896105397,443,91.646296418406
PN-IQ PN-DOMP,130,130,0.0001,-37.694368887311,-37.6584143988426,443,111.625033809393
PN-IQ PN-DOMP,130,130,1e-05,-38.7493252110406,-38.7225131264832,443,129.656853212509
PN-IQ PN-DOMP,140,140,0.001,-35.0243121735983,-34.9705977161222,487,91.5968311814089
PN-IQ PN-DOMP,140,140,0.0001,-37.8912124967042,-37.8474430270668,487,110.942505688794
PN-IQ PN-DOMP,140,140,1e-05,-38.8865725910977,-38.8613449950094,487,128.706577720672
PN-IQ PN-DOMP,150,150,0.001,-35.0347220706519,-34.9737836392902,517,91.5924018186562
PN-IQ PN-DOMP,150,150,0.0001,-38.0047377604009,-37.9574370061376,517,111.010879022206
PN-IQ PN-DOMP,150,150,1e-05,-39.0076368480857,-38.9839643940593,517,128.477235154513
PN-IQ PN-DOMP,160,160,0.001,-35.1259457546449,-35.0708722323511,545,91.5198040854289
PN-IQ PN-DOMP,160,160,0.0001,-38.0672515277963,-38.0244791978468,545,111.171700049082
PN-IQ PN-DOMP,160,160,1e-05,-39.1421783313528,-39.1351136188116,545,129.062554529488
PN-IQ PN-DOMP,170,170,0.001,-35.1173486443814,-35.0614133414653,579,91.3384424488195
PN-IQ PN-DOMP,170,170,0.0001,-38.1443993865936,-38.1152343463542,579,111.318880240815
PN-IQ PN-DOMP,170,170,1e-05,-39.1803880257283,-39.1780007323744,579,128.665075348474
PN-IQ PN-DOMP,180,180,0.001,-34.937810682173,-34.8860398932735,608,88.575212613449
PN-IQ PN-DOMP,180,180,0.0001,-38.1374952302871,-38.1102597619569,608,110.557808224316
PN-IQ PN-DOMP,180,180,1e-05,-39.2061351522892,-39.2030418001427,608,128.502360783579
PN-IQ PN-DOMP,190,190,0.001,-34.9955818324153,-34.9385751899615,635,88.1607155514508
PN-IQ PN-DOMP,190,190,0.0001,-38.2885383255287,-38.2635694746702,635,109.630934167193
PN-IQ PN-DOMP,190,190,1e-05,-39.3147068980651,-39.3164080144025,635,126.820052972082
PN-IQ PN-DOMP,200,200,0.001,-35.0796441402033,-35.0254971062843,663,86.8601480196671
PN-IQ PN-DOMP,200,200,0.0001,-38.3176081901045,-38.292403088125,663,108.793098861827
PN-IQ PN-DOMP,200,200,1e-05,-39.323577534361,-39.3269719307594,663,126.379992016159
PN-IQ PN-DOMP,210,210,0.001,-35.0995557078309,-35.0427605591021,703,86.8579961824168
PN-IQ PN-DOMP,210,210,0.0001,-38.333649356598,-38.3095277779507,703,108.775863754992
PN-IQ PN-DOMP,210,210,1e-05,-39.3367262647134,-39.3406923510073,703,126.346812351136
PN-IQ PN-DOMP,220,220,0.001,-35.1423379600055,-35.0935404065194,731,86.8199199546939
PN-IQ PN-DOMP,220,220,0.0001,-38.373509991534,-38.3517875530333,731,108.899659540636
PN-IQ PN-DOMP,220,220,1e-05,-39.4124557946506,-39.4138352523713,731,126.28301486621
PN-IQ PN-DOMP,230,230,0.001,-35.162994030916,-35.1167045337378,758,86.7250395058244
PN-IQ PN-DOMP,230,230,0.0001,-38.3723291926159,-38.3515781080421,758,108.768327555539
PN-IQ PN-DOMP,230,230,1e-05,-39.4182729035796,-39.4187585809122,758,126.233119410076
PN-IQ PN-DOMP,240,240,0.001,-35.1673811098219,-35.1224624079835,790,86.3783307997781
PN-IQ PN-DOMP,240,240,0.0001,-38.4012053505909,-38.3816020508907,790,108.713365507438
PN-IQ PN-DOMP,240,240,1e-05,-39.4334622458106,-39.4329627371643,790,126.357044885459
PN-IQ PN-DOMP,250,250,0.001,-35.1808091749653,-35.1340965401908,825,86.3553469402363
PN-IQ PN-DOMP,250,250,0.0001,-38.4065248292092,-38.3866265592582,825,108.6890435996
