Model,TargetRealParameters,ActualRealParameters,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,FineTuneEpochs,MaxAbsRealParameter
Complex GMP DOMP sweep,450,450,0,-38.7923290146925,-38.9414897175163,-38.8642530843703,2375,450,0,NaN,NaN,9.40747169224194e+15
Complex GMP DOMP sweep,460,460,0,-38.7891401527367,-38.9430836728793,-38.865402146008,2425,460,0,NaN,NaN,9.33718435014842e+15
Complex GMP DOMP sweep,470,470,0,-38.7873317787225,-38.9443876175381,-38.8649474536616,2476,470,0,NaN,NaN,9.60610980584942e+15
Complex GMP DOMP sweep,480,480,0,-38.7904761711529,-38.947099994858,-38.8667601372487,2526,480,0,NaN,NaN,9.63594849305372e+15
Complex GMP DOMP sweep,490,490,0,-38.7894163932479,-38.9488438651408,-38.8677459575983,2576,490,0,NaN,NaN,9.7872951616871e+15
Complex GMP DOMP sweep,500,500,0,-38.7845886200531,-38.9522045525942,-38.8652828824661,2627,500,0,NaN,NaN,9.71227004599815e+15
Independent PN-IQ PN-DOMP sweep,20,20,1e-06,-31.0416190511796,-31.0016198779452,-31.0329854298771,87,20,0,NaN,NaN,9135727.91425358
Independent PN-IQ PN-DOMP sweep,30,30,1e-06,-34.1889305094501,-34.2238983969594,-34.2961606837664,111,30,0,NaN,NaN,7303515.36530733
Independent PN-IQ PN-DOMP sweep,40,40,0,-36.3070990739298,-36.2990401680182,-36.3550320872778,143,40,0,NaN,NaN,1362569542.06458
Independent PN-IQ PN-DOMP sweep,50,50,0,-37.5437048986981,-37.5665097614348,-37.6054557827275,175,50,0,NaN,NaN,6269755620.21187
Independent PN-IQ PN-DOMP sweep,60,60,0,-38.2565935347754,-38.2306994417824,-38.2736374443467,223,60,0,NaN,NaN,6394652696.40662
Independent PN-IQ PN-DOMP sweep,70,70,0,-38.8999453714806,-38.7161073047481,-38.7316127615327,269,70,0,NaN,NaN,6465294612077
Independent PN-IQ PN-DOMP sweep,80,80,0,-39.3192105618091,-39.4867744784055,-39.5159178164742,295,80,0,NaN,NaN,6553759068508.77
Independent PN-IQ PN-DOMP sweep,90,90,0,-39.9535325680496,-40.1741979872814,-40.1942356220368,317,90,0,NaN,NaN,6427607390746.39
