Model,TargetRealParameters,ActualRealParameters,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,FineTuneEpochs,MaxAbsRealParameter,NMSELossFromBestDb,PNNNGainOverGMPDb,FLOPsSavedVsBest,FLOPsSavedPercentVsBest,ParametersSavedVsBest,ParametersSavedPercentVsBest,GainFromPreviousPointDb,ExtraFLOPsFromPreviousPoint,MarginalGainDbPer100AdditionalFLOPs,NearOptimal,BeatsGMP,Admissible,Selected
Sparse PNNN N12,210,210,NaN,NaN,-37.2147459897003,-37.244532868377,580,196,14,81.0077519379845,164,2.03813099861145,2.18970402364116,-1.56627256385944,560,49.1228070175439,280,57.1428571428571,0.342845905033087,20,1.71422952516544,0,0,0,0
Sparse PNNN N12,220,220,NaN,NaN,-37.4230409815374,-37.4445405375155,600,206,14,80.0387596899225,164,2.01255774497986,1.98969635450267,-1.36900533321982,540,47.3684210526316,270,55.1020408163265,0.200007669138493,20,1.00003834569247,0,0,0,0
Sparse PNNN N12,230,230,NaN,NaN,-37.8312544210579,-37.8558926363682,620,216,14,79.0697674418605,164,2.10794019699097,1.57834425564995,-0.977541237068415,520,45.6140350877193,260,53.0612244897959,0.411352098852717,20,2.05676049426359,0,0,0,0
Sparse PNNN N12,240,240,NaN,NaN,-38.1152003015003,-38.1381696999383,640,226,14,78.1007751937985,164,2.13458681106567,1.29606719207987,-0.700114383274716,500,43.859649122807,250,51.0204081632653,0.282277063570085,20,1.41138531785042,0,0,0,0
Sparse PNNN N12,250,250,NaN,NaN,-38.1448295714294,-38.1680781252401,660,236,14,77.1317829457364,164,2.13820362091064,1.26615876677808,-0.676104047747558,480,42.1052631578947,240,48.9795918367347,0.0299084253017909,20,0.149542126508955,0,0,0,0
Sparse PNNN N12,260,260,NaN,NaN,-38.180569208705,-38.1998422327814,680,246,14,76.1627906976744,164,2.16180205345154,1.23439465923676,-0.649841899415058,460,40.3508771929825,230,46.9387755102041,0.0317641075413135,20,0.158820537706568,0,0,0,0
Sparse PNNN N12,270,270,NaN,NaN,-38.5298054269916,-38.5508387141859,700,256,14,75.1937984496124,164,2.18110299110413,0.883398177832284,-0.30194560614386,440,38.5964912280702,220,44.8979591836735,0.350996481404479,20,1.7549824070224,0,0,0,0
Sparse PNNN N12,280,280,NaN,NaN,-38.5851903034891,-38.5998285734153,720,266,14,74.2248062015504,164,2.18938016891479,0.834408318602804,-0.253342090593044,420,36.8421052631579,210,42.8571428571429,0.0489898592294793,20,0.244949296147396,0,0,0,0
Sparse PNNN N12,290,290,NaN,NaN,-38.6064899805779,-38.6117816029131,740,276,14,73.2558139534884,164,2.20237731933594,0.822455289105079,-0.245582950744691,400,35.0877192982456,200,40.8163265306122,0.0119530294977253,20,0.0597651474886263,0,0,0,0
Sparse PNNN N12,300,300,NaN,NaN,-38.9589102868695,-38.9510795858277,760,286,14,72.2868217054264,164,2.20270943641663,0.483157306190463,0.0898681852112162,380,33.3333333333333,190,38.7755102040816,0.339297982914616,20,1.69648991457308,0,1,0,0
Sparse PNNN N12,310,310,NaN,NaN,-39.0085744116743,-38.9817640665313,780,296,14,71.3178294573643,164,2.17962551116943,0.452472825486787,0.11959394604002,360,31.5789473684211,180,36.734693877551,0.0306844807036768,20,0.153422403518384,0,1,0,0
Sparse PNNN N12,320,320,NaN,NaN,-39.0545338863635,-39.0242575336972,800,306,14,70.3488372093023,164,2.18113231658936,0.409979358320967,0.162079854186651,340,29.8245614035088,170,34.6938775510204,0.0424934671658193,20,0.212467335829096,0,1,0,0
Sparse PNNN N12,330,330,NaN,NaN,-39.267724392509,-39.2224030530554,820,316,14,69.3798449612403,164,2.16345810890198,0.211833838962782,0.361153917119026,320,28.0701754385965,160,32.6530612244898,0.198145519358185,20,0.990727596790926,0,1,0,0
Sparse PNNN N12,340,340,NaN,NaN,-39.2934083393179,-39.2429635431325,840,326,14,68.4108527131783,164,2.17243194580078,0.191273348885673,0.382980486137413,300,26.3157894736842,150,30.6122448979592,0.0205604900771093,20,0.102802450385546,1,1,1,1
Sparse PNNN N12,350,350,NaN,NaN,-39.2785045082837,-39.2407849164101,860,336,14,67.4418604651163,164,2.15987253189087,0.193451975607992,0.379179719131351,280,24.5614035087719,140,28.5714285714286,-0.00217862672231917,20,-0.0108931336115958,1,1,1,0
Sparse PNNN N12,360,360,NaN,NaN,-39.322326626183,-39.2880226730368,880,346,14,66.4728682170543,164,2.15579438209534,0.14621421898137,0.425266428622209,260,22.8070175438597,130,26.530612244898,0.0472377566266218,20,0.236188783133109,1,1,1,0
Sparse PNNN N12,370,370,NaN,NaN,-39.3169472438093,-39.2841817417412,900,356,14,65.5038759689922,164,2.15677881240845,0.150055150276984,0.414983138937998,240,21.0526315789474,120,24.4897959183673,-0.00384093129561336,20,-0.0192046564780668,1,1,1,0
Sparse PNNN N12,380,380,NaN,NaN,-39.3534526587763,-39.3173687395023,920,366,14,64.5348837209302,164,2.14478874206543,0.116868152515814,0.446881543775525,220,19.2982456140351,110,22.4489795918367,0.0331869977611703,20,0.165934988805851,1,1,1,0
