Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
PN-IQ PN-DOMP,430,430,0.0001,-38.5625927164641,-38.5269421270533,1364,0.997435073497765
PN-IQ PN-DOMP,430,430,1e-05,-39.5804328256206,-39.5618170557158,1364,1.15941833839975
PN-IQ PN-DOMP,440,440,0.001,-35.2586909430539,-35.1888855036775,1386,0.789438683309477
PN-IQ PN-DOMP,440,440,0.0001,-38.5653379346006,-38.5283684074338,1386,0.997411473822914
PN-IQ PN-DOMP,440,440,1e-05,-39.5839022655624,-39.5636383758018,1386,1.15941414549641
PN-IQ PN-DOMP,450,450,0.001,-35.2597149779401,-35.1897765260744,1408,0.789436163298668
PN-IQ PN-DOMP,450,450,0.0001,-38.5671757867744,-38.5298683124665,1408,0.997408688041041
PN-IQ PN-DOMP,450,450,1e-05,-39.590274470579,-39.569528536042,1408,1.15943437548312
PN-IQ PN-DOMP,460,460,0.001,-35.2624143307356,-35.1910549226649,1434,0.789281444021961
PN-IQ PN-DOMP,460,460,0.0001,-38.5712047709552,-38.5339819605183,1434,0.997367325597385
PN-IQ PN-DOMP,460,460,1e-05,-39.5970910197885,-39.5752988698499,1434,1.1591921365462
PN-IQ PN-DOMP,470,470,0.001,-35.2614259247988,-35.1906405560838,1464,0.789170801231233
PN-IQ PN-DOMP,470,470,0.0001,-38.5736286113659,-38.5362277560437,1464,0.997619624120831
PN-IQ PN-DOMP,470,470,1e-05,-39.5988798229555,-39.5763612587726,1464,1.15933306033451
PN-IQ PN-DOMP,480,480,0.001,-35.2621283121838,-35.1907990205637,1490,0.789160509362216
PN-IQ PN-DOMP,480,480,0.0001,-38.5740147502081,-38.5362147853495,1490,0.997622341413349
PN-IQ PN-DOMP,480,480,1e-05,-39.6003160093872,-39.5780608311267,1490,1.15934307491464
PN-IQ PN-DOMP,490,490,0.001,-35.2640985958989,-35.1925989426703,1510,0.789152505197215
PN-IQ PN-DOMP,490,490,0.0001,-38.5756745630953,-38.5375036903895,1510,0.997617918456506
PN-IQ PN-DOMP,490,490,1e-05,-39.6115764780221,-39.5880212305369,1510,1.15933987229453
PN-IQ PN-DOMP,500,500,0.001,-35.2652220590269,-35.1935797435211,1536,0.789142477923093
PN-IQ PN-DOMP,500,500,0.0001,-38.5762550424483,-38.5383567024389,1536,0.997613753754123
PN-IQ PN-DOMP,500,500,1e-05,-39.6167393166189,-39.5929744992068,1536,1.15936138567505
