Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Complex GMP DOMP sweep,Sweep point,260,260,Validation-selected Ridge,0,-38.3783456236989,-38.544618586481,-38.3805094178097,1406,260,0,NaN,Not applicable,NaN,NaN,130,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,270,270,Validation-selected Ridge,0,-38.4250642690862,-38.5576397180784,-38.38934507873,1467,270,0,NaN,Not applicable,NaN,NaN,135,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,280,280,Validation-selected Ridge,0,-38.4249905530272,-38.5712464675637,-38.3983789316601,1517,280,0,NaN,Not applicable,NaN,NaN,140,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,290,290,Validation-selected Ridge,0,-38.438964234977,-38.5901780676243,-38.4086695481715,1567,290,0,NaN,Not applicable,NaN,NaN,145,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,300,300,Validation-selected Ridge,0,-38.4474401424679,-38.5994378877983,-38.4159824976761,1617,300,0,NaN,Not applicable,NaN,NaN,150,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,310,310,Validation-selected Ridge,0,-38.4489953841799,-38.6108568631163,-38.4240402383684,1667,310,0,NaN,Not applicable,NaN,NaN,155,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,320,320,Validation-selected Ridge,0,-38.4640114427663,-38.6265101892247,-38.4297348985225,1717,320,0,NaN,Not applicable,NaN,NaN,160,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,330,330,Validation-selected Ridge,0,-38.4708011611823,-38.6439668985321,-38.4440973003512,1767,330,0,NaN,Not applicable,NaN,NaN,165,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,340,340,Validation-selected Ridge,0,-38.4775248002842,-38.6631815068491,-38.4564256202339,1817,340,0,NaN,Not applicable,NaN,NaN,170,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,350,350,Validation-selected Ridge,0,-38.4881053433588,-38.6823076743446,-38.4667378818485,1867,350,0,NaN,Not applicable,NaN,NaN,175,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,360,360,Validation-selected Ridge,0,-38.5085343406826,-38.6941592496014,-38.4772319324231,1917,360,0,NaN,Not applicable,NaN,NaN,180,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,370,370,Validation-selected Ridge,0,-38.4909373662523,-38.706752085124,-38.4854954711918,1967,370,0,NaN,Not applicable,NaN,NaN,185,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,380,380,Validation-selected Ridge,0,-38.4983208380395,-38.7177066001194,-38.4950887462838,2017,380,0,NaN,Not applicable,NaN,NaN,190,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,390,390,Validation-selected Ridge,0,-38.5093160734443,-38.7280839141654,-38.5057338581111,2067,390,0,NaN,Not applicable,NaN,NaN,195,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,400,400,Validation-selected Ridge,0,-38.5171993993334,-38.7409975760762,-38.5173498650372,2117,400,0,NaN,Not applicable,NaN,NaN,200,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,410,410,Validation-selected Ridge,0,-38.5274903612312,-38.7489876496127,-38.5257611502242,2167,410,0,NaN,Not applicable,NaN,NaN,205,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,420,420,Validation-selected Ridge,0,-38.525783064209,-38.7573911838602,-38.5327122172869,2217,420,0,NaN,Not applicable,NaN,NaN,210,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,430,430,Validation-selected Ridge,0,-38.5307232487481,-38.7638057899397,-38.5359902393491,2267,430,0,NaN,Not applicable,NaN,NaN,215,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,440,440,Validation-selected Ridge,0,-38.5376855818203,-38.7731658824494,-38.5415586315429,2317,440,0,NaN,Not applicable,NaN,NaN,220,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,450,450,Validation-selected Ridge,0,-38.5452647589055,-38.778983252601,-38.5426371045816,2367,450,0,NaN,Not applicable,NaN,NaN,225,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,460,460,Validation-selected Ridge,0,-38.5540278100018,-38.7938374661869,-38.5485558028187,2420,460,0,NaN,Not applicable,NaN,NaN,230,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,470,470,Validation-selected Ridge,0,-38.5583781260598,-38.8015935363893,-38.5549294728624,2473,470,0,NaN,Not applicable,NaN,NaN,235,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,480,480,Validation-selected Ridge,0,-38.5666761565172,-38.8085686009474,-38.555904385851,2523,480,0,NaN,Not applicable,NaN,NaN,240,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
