Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
Complex GMP-DOMP,270,270,0.0001,-36.3715107620055,-36.3100844944801,1467
Complex GMP-DOMP,270,270,1e-05,-36.896605053168,-36.827597882501,1467
Complex GMP-DOMP,280,280,0.001,-35.2505893637706,-35.2056444672845,1517
Complex GMP-DOMP,280,280,0.0001,-36.3807300532549,-36.3180663353069,1517
Complex GMP-DOMP,280,280,1e-05,-36.8959388417685,-36.8260918456904,1517
Complex GMP-DOMP,290,290,0.001,-35.2555621805793,-35.2111976058694,1567
Complex GMP-DOMP,290,290,0.0001,-36.3911582213117,-36.328455718048,1567
Complex GMP-DOMP,290,290,1e-05,-36.9073530867458,-36.8376065539499,1567
Complex GMP-DOMP,300,300,0.001,-35.2520619002258,-35.2062719796654,1617
Complex GMP-DOMP,300,300,0.0001,-36.4010366283915,-36.3381452316271,1617
Complex GMP-DOMP,300,300,1e-05,-36.9173175043156,-36.8473642695071,1617
Complex GMP-DOMP,310,310,0.001,-35.2555925476289,-35.208810307121,1667
Complex GMP-DOMP,310,310,0.0001,-36.4051692765879,-36.3400259107763,1667
Complex GMP-DOMP,310,310,1e-05,-36.9208994255577,-36.8500201608065,1667
Complex GMP-DOMP,320,320,0.001,-35.2612268690553,-35.2151511444154,1717
Complex GMP-DOMP,320,320,0.0001,-36.4069857825258,-36.3433150448108,1717
Complex GMP-DOMP,320,320,1e-05,-36.9232278466411,-36.8527542635276,1717
Complex GMP-DOMP,330,330,0.001,-35.2627559116183,-35.2162495128962,1767
Complex GMP-DOMP,330,330,0.0001,-36.4088924298552,-36.3448848825563,1767
Complex GMP-DOMP,330,330,1e-05,-36.9294509311588,-36.8579639998708,1767
Complex GMP-DOMP,340,340,0.001,-35.2655281919623,-35.2174979362019,1817
Complex GMP-DOMP,340,340,0.0001,-36.4122455795735,-36.3462036699292,1817
Complex GMP-DOMP,340,340,1e-05,-36.9326254698967,-36.8580731749267,1817
Complex GMP-DOMP,350,350,0.001,-35.2677126137546,-35.2190956366646,1867
Complex GMP-DOMP,350,350,0.0001,-36.4143831679883,-36.3481122456717,1867
Complex GMP-DOMP,350,350,1e-05,-36.9359295839485,-36.8614219235774,1867
Complex GMP-DOMP,360,360,0.001,-35.2693848733507,-35.2199101420067,1917
Complex GMP-DOMP,360,360,0.0001,-36.4184615830245,-36.3506491254295,1917
Complex GMP-DOMP,360,360,1e-05,-36.9430459093972,-36.86630455636,1917
Complex GMP-DOMP,370,370,0.001,-35.2795756469211,-35.2303816065009,1967
Complex GMP-DOMP,370,370,0.0001,-36.4242742105343,-36.356748305578,1967
Complex GMP-DOMP,370,370,1e-05,-36.9453600109916,-36.8681801301286,1967
Complex GMP-DOMP,380,380,0.001,-35.2809488809663,-35.2314005987972,2017
Complex GMP-DOMP,380,380,0.0001,-36.4283958971915,-36.3596516967072,2017
Complex GMP-DOMP,380,380,1e-05,-36.9515722740925,-36.8722059290989,2017
Complex GMP-DOMP,390,390,0.001,-35.284072480915,-35.2344351401724,2067
Complex GMP-DOMP,390,390,0.0001,-36.4321729145472,-36.3636476204657,2067
Complex GMP-DOMP,390,390,1e-05,-36.9549515689181,-36.8756661876045,2067
Complex GMP-DOMP,400,400,0.001,-35.2845799285343,-35.2346502391509,2117
Complex GMP-DOMP,400,400,0.0001,-36.4333220184375,-36.3642768114284,2117
Complex GMP-DOMP,400,400,1e-05,-36.9552123995245,-36.8757363735037,2117
Complex GMP-DOMP,410,410,0.001,-35.2867317784915,-35.236616679833,2167
Complex GMP-DOMP,410,410,0.0001,-36.4360767293455,-36.3668798605984,2167
Complex GMP-DOMP,410,410,1e-05,-36.9570640863986,-36.8770378826015,2167
Complex GMP-DOMP,420,420,0.001,-35.2880564867014,-35.2366064568079,2217
Complex GMP-DOMP,420,420,0.0001,-36.4385883995659,-36.3679593183804,2217
Complex GMP-DOMP,420,420,1e-05,-36.9579925500281,-36.8768063804846,2217
Complex GMP-DOMP,430,430,0.001,-35.2894682221121,-35.2377579625639,2267
Complex GMP-DOMP,430,430,0.0001,-36.4409820716264,-36.3696320607619,2267
Complex GMP-DOMP,430,430,1e-05,-36.9598232576706,-36.8785942210429,2267
Complex GMP-DOMP,440,440,0.001,-35.2896908418958,-35.2374187323122,2317
Complex GMP-DOMP,440,440,0.0001,-36.441496943136,-36.3698598500464,2317
Complex GMP-DOMP,440,440,1e-05,-36.9607001111486,-36.8793634143127,2317
Complex GMP-DOMP,450,450,0.001,-35.2973481916288,-35.2433017054442,2367
Complex GMP-DOMP,450,450,0.0001,-36.4557528965642,-36.3834201807796,2367
Complex GMP-DOMP,450,450,1e-05,-36.9733370089122,-36.8905889021041,2367
Complex GMP-DOMP,460,460,0.001,-35.3113222070976,-35.2559996408658,2420
Complex GMP-DOMP,460,460,0.0001,-36.4717125917603,-36.3975502315099,2420
