Scope,PopulationCount,SupportCount,CanonicalCount,NoncanonicalCount,StructurallyRealCount,StructurallyZeroQCount,UniqueIQFeatureCount
Population,673,100,671,2,61,61,1285
Frozen complex support,673,100,98,2,21,21,179
