Stage,SelectedComponents,RequestedComponents,StopReason,InitialResidualNorm,FinalResidualNorm,MaximumNormalizedCorrelation,MaximumConditionNumber,MaximumOrthogonalityError,ElapsedTimeSeconds
INTERNAL_TRAIN complex path,200,200,maximum_components,3.58248032186403,0.0490972714026922,3.48912451303296,2.1611529941682e+17,2.58452444798421e-14,61.6078889
IDENTIFICATION complex path,200,200,maximum_components,3.8899365230855,0.0535673949807785,3.78809284157256,8.64612293456263e+17,1.26092884491542e-14,72.075121
INTERNAL_TRAIN reduced PN-IQ,100,100,maximum_components,3.58248032186403,0.0476423292805567,3.48912451303296,5.55360787347027e+16,3.40795100473024e-14,6.4436817
IDENTIFICATION reduced PN-IQ,100,100,maximum_components,3.8899365230855,0.0529875549059079,3.78809284157256,3.6486882382346e+16,5.62156658029389e-14,7.2756854
